Name,Notes,Assignee Email,Due Date,Section
"[SEO-01] Implement prerendering with vite-plugin-prerender","CRITICAL — Without this, Googlebot sees an empty <div> on every page. Nothing else in this sprint produces ranking results until this is done. Install: npm install vite-plugin-prerender --save-dev. Configure all 27 routes in vite.config.ts. Verify: dist/ folder must contain a real index.html inside each route subfolder (e.g. dist/faq/index.html). Full instructions in src/docs/SOYANA-SEO-INSTRUCTIONS.md Task 1.","soyana@endevo.life","06/05/2026","🔴 SEO — Critical"
"[SEO-02] Apply SEO component to all 23 missing pages","23 of 30 pages have no unique title or description — they fall back to the generic index.html. The SEO component already exists at src/components/SEO.tsx. Add it to: ForEmployers, ForIndividuals, FAQ, Solution, Marketplace, TrustedExperts, NewsAndEvents, Plan, ForServiceProviders, ForInvestors, LearnAndListen, all 5 case studies, PrivacyPolicy, TermsOfService, CookiePolicy, CookieSettings, NotFound. Exact copy for each page is in src/docs/SOYANA-SEO-INSTRUCTIONS.md Task 2.","soyana@endevo.life","06/05/2026","🔴 SEO — Critical"
"[SEO-03] Fix Vercel to return real HTTP 404 for unknown routes","vercel.json currently rewrites all unknown URLs to index.html returning HTTP 200. Google treats these as valid pages and wastes crawl budget. After prerendering is implemented (SEO-01), Vercel will serve static files and unknown routes will naturally 404. Verify after SEO-01 deploy: open DevTools Network tab, visit a non-existent URL, confirm status is 404 not 200.","soyana@endevo.life","06/05/2026","🔴 SEO — Critical"
"[SEO-04] Add H1 tags to 6 key pages","These pages have no <h1>: Homepage, ForEmployers, ForIndividuals, Marketplace, FAQ, Contact. Find the main hero heading in each page, change the tag from <h2> or <p> to <h1>. Do not change styling — only the HTML tag. One <h1> per page only. See src/docs/SOYANA-SEO-INSTRUCTIONS.md Task 3.","soyana@endevo.life","06/05/2026","🔴 SEO — Critical"
"[SEO-05] Add FAQPage schema (JSON-LD) to /faq page","The FAQ page has existing question/answer content but no structured data. Adding FAQPage schema makes ENDevo eligible for Google's People Also Ask rich results — one of the highest-visibility SERP features. Use the SEO component's jsonLd prop. Rewrite FAQ questions for consumer search intent first (what is a digital legacy? what happens to my email when I die?). Full schema example in src/docs/SOYANA-SEO-INSTRUCTIONS.md Task 2 under FAQ.tsx.","soyana@endevo.life","06/12/2026","🟠 SEO — High"
"[SEO-06] Add Article schema to all 5 case study pages","Case studies are 1500-2000 word assets with zero structured data. Adding Article schema (via SEO component jsonLd prop with @type: Article) makes them eligible for rich results. Add ogType='article' to the SEO component on each case study page as well.","soyana@endevo.life","06/12/2026","🟠 SEO — High"
"[SEO-07] Submit sitemap to Bing Webmaster Tools","Bing has ~6% US search traffic and powers Microsoft Copilot AI answers. Go to https://www.bing.com/webmasters → add site https://www.endevo.life → verify ownership via meta tag (add <meta name='msvalidate.01' content='YOUR_KEY'> to index.html) → submit https://www.endevo.life/sitemap.xml. Without this Bing cannot track crawl errors or indexing status.","soyana@endevo.life","06/12/2026","🟠 SEO — High"
"[SEO-08] Add BreadcrumbList schema to case studies and blog","Breadcrumb structured data shows clickable path links in Google search results (Home > Case Studies > Title) and increases click-through rate. Add to all 5 case study pages and the Blog page using the SEO component's jsonLd prop with @type: BreadcrumbList.","soyana@endevo.life","06/19/2026","🟡 SEO — Medium"
"[SEO-09] Update sitemap.xml lastmod dates dynamically","All 27 sitemap URLs currently show lastmod: 2026-04-15 (hardcoded). Google uses lastmod to prioritise recrawls. After each content update, update the lastmod date for that URL to today's date. Long term: automate this with a build script. Short term: manually update when pages change.","soyana@endevo.life","06/19/2026","🟡 SEO — Medium"
"[SEO-10] Add Service schema to commercial pages","/wws-employers, /solution, /marketplace have no structured data. Add Service schema (JSON-LD @type: Service) describing ENDevo's offerings. This improves EEAT signals and rich result eligibility for B2B queries.","soyana@endevo.life","06/26/2026","🟡 SEO — Medium"
"[SEO-11] Internal linking audit — descriptive anchor text","Review all in-body links across changed pages. Replace vague anchor text ('click here', 'learn more') with descriptive text ('Read our digital legacy FAQ', 'View employer solutions'). Every case study should link to /solution and relevant who-we-serve pages. See src/docs/SOYANA-SEO-INSTRUCTIONS.md Task 4.","soyana@endevo.life","06/26/2026","🟡 SEO — Medium"
"[SEO-12] Run Lighthouse SEO audit post-deploy and report scores","After all SEO tasks are complete, run Lighthouse (Chrome DevTools → Lighthouse tab) on: homepage, /faq, /wws-employers. Target: SEO score 90+. Screenshot each report and attach to this task. Also run Google Rich Results Test on /faq to confirm FAQPage schema is detected.","soyana@endevo.life","07/03/2026","🟡 SEO — Medium"
"[CODE-01] Fix empty catch block in Podcast.tsx lines 82-99","Silent error swallowing: catch {} swallows fetch failures with no log. Users see a broken podcast page with no way to debug. Fix: catch (err) { console.error('Podcast RSS fetch failed:', err); } — add at minimum an error log. Optionally display a user-facing error message.","soyana@endevo.life","06/05/2026","🔵 Code Quality"
"[CODE-02] Replace as any ref types with React.RefObject<HTMLElement>","20+ instances across pages: Solution.tsx, LearnAndListen.tsx, ForServiceProviders.tsx, ForIndividuals.tsx, Company.tsx, Marketplace.tsx, Plan.tsx, ForInvestors.tsx, Index.tsx, and several components. Pattern to fix: const { elementRef: myRef } = useScrollAnimation(); → the ref is typed as any. Replace with the correct React ref type. One pattern, applied everywhere.","soyana@endevo.life","06/19/2026","🔵 Code Quality"
"[CODE-03] Remove dead code from ForEmployers.tsx","Lines 35-96 and 100-173 are large commented-out JSX blocks. Lines 8-11 import image assets (employersHeroOffice etc.) that are only referenced in the commented-out code. Remove the commented-out sections and the unused imports. Also remove the {false && ...} pattern at line 101.","soyana@endevo.life","06/12/2026","🔵 Code Quality"
"[CODE-04] Extract hardcoded hex colors to Tailwind config tokens","Inline style={{ color: '#D95D26' }} and style={{ backgroundColor: '#0F1738' }} appear in 10+ files. These should use Tailwind classes: text-brand-orange, bg-brand-navy. Check tailwind.config.ts for existing color tokens and replace inline hex values with the appropriate Tailwind class. Also extract repeated font-family strings to Tailwind config.","soyana@endevo.life","06/26/2026","🔵 Code Quality"
"[CODE-05] Extract blogPostsData.ts to Sanity CMS","src/data/blogPostsData.ts is 6717 lines of hardcoded blog content. This makes every page load slower and makes content updates require a developer. Blog posts should be managed in Sanity (already integrated). Migrate content to Sanity and replace the static import with a Sanity GROQ query. This is a larger task — estimate 2-3 days.","soyana@endevo.life","07/10/2026","🔵 Code Quality"
"[INFRA-01] Enforce CI/CD gates on GitHub — require all checks to pass before merge","The GitHub Actions workflow .github/workflows/pr-checks.yml has been created with 4 gates: TypeScript, ESLint, Build, Code Quality. Enable branch protection on main: Settings → Branches → main → Require status checks → select all 4 jobs. After this no PR can merge unless all checks are green. Ask @endevo-life or @nermeen to enable this in GitHub repository settings.","soyana@endevo.life","06/05/2026","⚙️ Infrastructure"
"[INFRA-02] Set up Prettier for consistent code formatting","prettier is not yet installed. Install: npm install --save-dev prettier. Create .prettierrc: { singleQuote: true, semi: true, tabWidth: 2, trailingComma: 'es5' }. Add script to package.json: 'format': 'prettier --write src/**/*.{ts,tsx}'. Add 'format:check': 'prettier --check src/**/*.{ts,tsx}' for CI. Once configured, run npm run format once to format the entire codebase, then commit. After that add the format:check step to pr-checks.yml.","soyana@endevo.life","06/12/2026","⚙️ Infrastructure"
"[INFRA-03] Enable TypeScript strictNullChecks and fix resulting errors","tsconfig.json currently has strictNullChecks: false and noImplicitAny: false. These are the most common source of runtime crashes in TypeScript projects. Enable strictNullChecks: true first (lower risk), fix all resulting type errors, then evaluate noImplicitAny. Do this on a separate branch and fix errors incrementally — do not do this alongside other feature work.","soyana@endevo.life","07/10/2026","⚙️ Infrastructure"
"[INFRA-04] Cross-browser testing session — document results","After SEO sprint is complete, run a full cross-browser test session. Test every changed page in: Chrome latest, Firefox latest, Safari/iOS Safari, Edge latest. Test at 390px and 1280px. Document pass/fail in a comment on this task. Flag any visual regressions to @nermeen.","soyana@endevo.life","07/03/2026","⚙️ Infrastructure"
